tipo_vehiculo,combustible_inicial_gal,combustible_asignado_gal,combustible_remanente_gal,porcentaje_utilizado
camion_grande,1400.0,0.0,1400.0,0.0
camioneta,1800.0,1416.5279999999998,383.4720000000001,0.7869599999999999
