escenario,realizacion,bloque,tiempo_h,zona,suministro,inventario_inicio,reposicion_recibida,demanda,consumo_satisfecho,inventario_fin,superavit,deficit
post_intercambio,0,0,0,Z1,agua,0.0,0.0,301.6209958139851,0.0,0.0,0.0,301.6209958139851
post_intercambio,0,0,0,Z1,alimentos,0.0,0.0,100.53415871587572,0.0,0.0,0.0,100.53415871587572
post_intercambio,0,0,0,Z1,medicamentos,0.0,0.0,5.093953380613778,0.0,0.0,0.0,5.093953380613778
post_intercambio,0,0,0,Z2,agua,65000.0,0.0,1567.581538050163,1567.581538050163,63432.418461949834,63432.418461949834,0.0
post_intercambio,0,0,0,Z2,alimentos,18000.0,0.0,521.4343093236049,521.4343093236049,17478.565690676394,17478.565690676394,0.0
post_intercambio,0,0,0,Z2,medicamentos,380.0,0.0,28.471298614391227,28.471298614391227,351.52870138560877,351.52870138560877,0.0
post_intercambio,0,0,0,Z3,agua,40000.0,0.0,1750.2868486408438,1750.2868486408438,38249.71315135916,38249.71315135916,0.0
post_intercambio,0,0,0,Z3,alimentos,9500.0,0.0,748.9055011315527,748.9055011315527,8751.094498868448,8751.094498868448,0.0
post_intercambio,0,0,0,Z3,medicamentos,210.0,0.0,31.310959005290563,31.310959005290563,178.68904099470944,178.68904099470944,0.0
post_intercambio,0,0,0,Z4,agua,180000.0,0.0,718.2115377514522,718.2115377514522,179281.78846224854,179281.78846224854,0.0
post_intercambio,0,0,0,Z4,alimentos,42000.0,0.0,314.3187717226573,314.3187717226573,41685.681228277346,41685.681228277346,0.0
post_intercambio,0,0,0,Z4,medicamentos,1200.0,0.0,16.625634967193985,16.625634967193985,1183.374365032806,1183.374365032806,0.0
post_intercambio,0,0,0,Z5,agua,28000.0,0.0,1232.39151948356,1232.39151948356,26767.60848051644,26767.60848051644,0.0
post_intercambio,0,0,0,Z5,alimentos,7200.0,0.0,388.143203674186,388.143203674186,6811.856796325814,6811.856796325814,0.0
post_intercambio,0,0,0,Z5,medicamentos,145.0,0.0,19.247908685239473,19.247908685239473,125.75209131476052,125.75209131476052,0.0
post_intercambio,0,1,6,Z1,agua,0.0,0.0,336.1231282005507,0.0,0.0,0.0,336.1231282005507
post_intercambio,0,1,6,Z1,alimentos,0.0,0.0,119.05504340409243,0.0,0.0,0.0,119.05504340409243
post_intercambio,0,1,6,Z1,medicamentos,0.0,0.0,4.9296646677880345,0.0,0.0,0.0,4.9296646677880345
post_intercambio,0,1,6,Z2,agua,63432.418461949834,0.0,1319.9321852740864,1319.9321852740864,62112.48627667575,62112.48627667575,0.0
post_intercambio,0,1,6,Z2,alimentos,17478.565690676394,0.0,495.8528902534726,495.8528902534726,16982.712800422923,16982.712800422923,0.0
post_intercambio,0,1,6,Z2,medicamentos,351.52870138560877,0.0,32.49036790170568,32.49036790170568,319.0383334839031,319.0383334839031,0.0
post_intercambio,0,1,6,Z3,agua,38249.71315135916,0.0,1795.715123830033,1795.715123830033,36453.998027529124,36453.998027529124,0.0
post_intercambio,0,1,6,Z3,alimentos,8751.094498868448,0.0,583.6632711011143,583.6632711011143,8167.431227767333,8167.431227767333,0.0
post_intercambio,0,1,6,Z3,medicamentos,178.68904099470944,0.0,21.668507726574898,21.668507726574898,157.02053326813456,157.02053326813456,0.0
post_intercambio,0,1,6,Z4,agua,179281.78846224854,0.0,1198.8477644374195,1198.8477644374195,178082.94069781114,178082.94069781114,0.0
post_intercambio,0,1,6,Z4,alimentos,41685.681228277346,0.0,284.7987234943129,284.7987234943129,41400.88250478303,41400.88250478303,0.0
post_intercambio,0,1,6,Z4,medicamentos,1183.374365032806,0.0,27.534387822243634,27.534387822243634,1155.8399772105624,1155.8399772105624,0.0
post_intercambio,0,1,6,Z5,agua,26767.60848051644,0.0,914.2843344751226,914.2843344751226,25853.324146041316,25853.324146041316,0.0
post_intercambio,0,1,6,Z5,alimentos,6811.856796325814,0.0,311.19414596951856,311.19414596951856,6500.662650356295,6500.662650356295,0.0
post_intercambio,0,1,6,Z5,medicamentos,125.75209131476052,0.0,15.878402509922608,15.878402509922608,109.87368880483791,109.87368880483791,0.0
post_intercambio,0,2,12,Z1,agua,0.0,0.0,241.80787142164024,0.0,0.0,0.0,241.80787142164024
post_intercambio,0,2,12,Z1,alimentos,0.0,0.0,99.88999549561069,0.0,0.0,0.0,99.88999549561069
post_intercambio,0,2,12,Z1,medicamentos,0.0,0.0,4.625849528792951,0.0,0.0,0.0,4.625849528792951
post_intercambio,0,2,12,Z2,agua,62112.48627667575,0.0,1812.422171195543,1812.422171195543,60300.06410548021,60300.06410548021,0.0
post_intercambio,0,2,12,Z2,alimentos,16982.712800422923,0.0,510.6247879671534,510.6247879671534,16472.08801245577,16472.08801245577,0.0
post_intercambio,0,2,12,Z2,medicamentos,319.0383334839031,0.0,24.837052089174872,24.837052089174872,294.20128139472826,294.20128139472826,0.0
post_intercambio,0,2,12,Z3,agua,36453.998027529124,0.0,1319.4396596435822,1319.4396596435822,35134.55836788554,35134.55836788554,0.0
post_intercambio,0,2,12,Z3,alimentos,8167.431227767333,0.0,470.94819733870435,470.94819733870435,7696.483030428629,7696.483030428629,0.0
post_intercambio,0,2,12,Z3,medicamentos,157.02053326813456,0.0,30.465585606722776,30.465585606722776,126.55494766141177,126.55494766141177,0.0
post_intercambio,0,2,12,Z4,agua,178082.94069781114,0.0,1186.106954425888,1186.106954425888,176896.83374338524,176896.83374338524,0.0
post_intercambio,0,2,12,Z4,alimentos,41400.88250478303,0.0,470.63336407047075,470.63336407047075,40930.24914071256,40930.24914071256,0.0
post_intercambio,0,2,12,Z4,medicamentos,1155.8399772105624,0.0,18.678422284547086,18.678422284547086,1137.1615549260152,1137.1615549260152,0.0
post_intercambio,0,2,12,Z5,agua,25853.324146041316,0.0,1158.46669986295,1158.46669986295,24694.857446178365,24694.857446178365,0.0
post_intercambio,0,2,12,Z5,alimentos,6500.662650356295,0.0,334.36136950274516,334.36136950274516,6166.3012808535495,6166.3012808535495,0.0
post_intercambio,0,2,12,Z5,medicamentos,109.87368880483791,0.0,20.475740577039197,20.475740577039197,89.39794822779871,89.39794822779871,0.0
post_intercambio,0,3,18,Z1,agua,0.0,0.0,319.96103348057807,0.0,0.0,0.0,319.96103348057807
post_intercambio,0,3,18,Z1,alimentos,0.0,0.0,95.96651279420044,0.0,0.0,0.0,95.96651279420044
post_intercambio,0,3,18,Z1,medicamentos,0.0,0.0,5.926651241476446,0.0,0.0,0.0,5.926651241476446
post_intercambio,0,3,18,Z2,agua,60300.06410548021,0.0,1518.8377498014834,1518.8377498014834,58781.22635567873,58781.22635567873,0.0
post_intercambio,0,3,18,Z2,alimentos,16472.08801245577,0.0,611.9859266853967,611.9859266853967,15860.102085770373,15860.102085770373,0.0
post_intercambio,0,3,18,Z2,medicamentos,294.20128139472826,0.0,30.3613539231806,30.3613539231806,263.83992747154764,263.83992747154764,0.0
post_intercambio,0,3,18,Z3,agua,35134.55836788554,0.0,2045.6448040913835,2045.6448040913835,33088.91356379416,33088.91356379416,0.0
post_intercambio,0,3,18,Z3,alimentos,7696.483030428629,0.0,546.7580609293263,546.7580609293263,7149.7249694993025,7149.7249694993025,0.0
post_intercambio,0,3,18,Z3,medicamentos,126.55494766141177,0.0,27.12060621622172,27.12060621622172,99.43434144519006,99.43434144519006,0.0
post_intercambio,0,3,18,Z4,agua,176896.83374338524,40000.0,1288.6587772747432,1288.6587772747432,215608.1749661105,215608.1749661105,0.0
post_intercambio,0,3,18,Z4,alimentos,40930.24914071256,8000.0,592.6133429860627,592.6133429860627,48337.6357977265,48337.6357977265,0.0
post_intercambio,0,3,18,Z4,medicamentos,1137.1615549260152,200.0,22.743251887817618,22.743251887817618,1314.4183030381976,1314.4183030381976,0.0
post_intercambio,0,3,18,Z5,agua,24694.857446178365,0.0,1017.6128401353324,1017.6128401353324,23677.244606043034,23677.244606043034,0.0
post_intercambio,0,3,18,Z5,alimentos,6166.3012808535495,0.0,338.24683508626765,338.24683508626765,5828.054445767282,5828.054445767282,0.0
post_intercambio,0,3,18,Z5,medicamentos,89.39794822779871,0.0,18.191047058274968,18.191047058274968,71.20690116952375,71.20690116952375,0.0
post_intercambio,0,4,24,Z1,agua,0.0,0.0,337.4870715880545,0.0,0.0,0.0,337.4870715880545
post_intercambio,0,4,24,Z1,alimentos,0.0,0.0,119.64242872132631,0.0,0.0,0.0,119.64242872132631
post_intercambio,0,4,24,Z1,medicamentos,0.0,0.0,4.231864445288443,0.0,0.0,0.0,4.231864445288443
post_intercambio,0,4,24,Z2,agua,58781.22635567873,0.0,1401.6161308654166,1401.6161308654166,57379.61022481331,57379.61022481331,0.0
post_intercambio,0,4,24,Z2,alimentos,15860.102085770373,0.0,498.081205275974,498.081205275974,15362.0208804944,15362.0208804944,0.0
post_intercambio,0,4,24,Z2,medicamentos,263.83992747154764,0.0,26.867239671839,26.867239671839,236.97268779970864,236.97268779970864,0.0
post_intercambio,0,4,24,Z3,agua,33088.91356379416,0.0,1869.7402452594088,1869.7402452594088,31219.173318534748,31219.173318534748,0.0
post_intercambio,0,4,24,Z3,alimentos,7149.7249694993025,0.0,629.5427215130187,629.5427215130187,6520.182247986284,6520.182247986284,0.0
post_intercambio,0,4,24,Z3,medicamentos,99.43434144519006,0.0,32.24072826347628,32.24072826347628,67.19361318171377,67.19361318171377,0.0
post_intercambio,0,4,24,Z4,agua,215608.1749661105,80000.0,1387.230957524145,1387.230957524145,294220.94400858635,294220.94400858635,0.0
post_intercambio,0,4,24,Z4,alimentos,48337.6357977265,15000.0,565.3774255149565,565.3774255149565,62772.258372211545,62772.258372211545,0.0
post_intercambio,0,4,24,Z4,medicamentos,1314.4183030381976,400.0,25.367818343447148,25.367818343447148,1689.0504846947504,1689.0504846947504,0.0
post_intercambio,0,4,24,Z5,agua,23677.244606043034,0.0,1066.5019217976749,1066.5019217976749,22610.74268424536,22610.74268424536,0.0
post_intercambio,0,4,24,Z5,alimentos,5828.054445767282,0.0,452.355135699803,452.355135699803,5375.699310067479,5375.699310067479,0.0
post_intercambio,0,4,24,Z5,medicamentos,71.20690116952375,0.0,16.160502512073684,16.160502512073684,55.04639865745006,55.04639865745006,0.0
post_intercambio,0,5,30,Z1,agua,0.0,0.0,285.5881800191506,0.0,0.0,0.0,285.5881800191506
post_intercambio,0,5,30,Z1,alimentos,0.0,0.0,80.78804505606254,0.0,0.0,0.0,80.78804505606254
post_intercambio,0,5,30,Z1,medicamentos,0.0,0.0,5.11622595598492,0.0,0.0,0.0,5.11622595598492
post_intercambio,0,5,30,Z2,agua,57379.61022481331,0.0,1421.0483400366077,1421.0483400366077,55958.561884776704,55958.561884776704,0.0
post_intercambio,0,5,30,Z2,alimentos,15362.0208804944,0.0,654.1273031678597,654.1273031678597,14707.89357732654,14707.89357732654,0.0
post_intercambio,0,5,30,Z2,medicamentos,236.97268779970864,0.0,22.789542733494464,22.789542733494464,214.18314506621417,214.18314506621417,0.0
post_intercambio,0,5,30,Z3,agua,31219.173318534748,0.0,1721.4667731760012,1721.4667731760012,29497.706545358746,29497.706545358746,0.0
post_intercambio,0,5,30,Z3,alimentos,6520.182247986284,0.0,646.2767675185232,646.2767675185232,5873.905480467761,5873.905480467761,0.0
