bloque,tiempo_h,zona,suministro,inventario_inicio_medio,reposicion_recibida_medio,demanda_medio,demanda_ic95_inferior,demanda_ic95_superior,consumo_satisfecho_medio,inventario_fin_medio,inventario_fin_ic95_inferior,inventario_fin_ic95_superior,deficit_medio,deficit_ic95_inferior,deficit_ic95_superior,superavit_medio
0,0,Z1,agua,0.0,0.0,311.80991684554897,300.8780151846857,322.74181850641224,0.0,0.0,0.0,0.0,311.80991684554897,300.8780151846857,322.74181850641224,0.0
0,0,Z1,alimentos,0.0,0.0,100.26278413005086,97.3277479292624,103.19782033083932,0.0,0.0,0.0,0.0,100.26278413005086,97.3277479292624,103.19782033083932,0.0
0,0,Z1,medicamentos,0.0,0.0,5.1869922924612455,5.035402819060169,5.338581765862322,0.0,0.0,0.0,0.0,5.1869922924612455,5.035402819060169,5.338581765862322,0.0
0,0,Z2,agua,65000.0,0.0,1643.180665894866,1594.5836415861434,1691.7776902035887,1643.180665894866,63356.81933410513,63308.22230979641,63405.41635841385,0.0,0.0,0.0,63356.81933410513
0,0,Z2,alimentos,18000.0,0.0,544.9355248224645,530.2459774770045,559.6250721679244,544.9355248224645,17455.064475177536,17440.374927832076,17469.754022522997,0.0,0.0,0.0,17455.064475177536
0,0,Z2,medicamentos,380.0,0.0,27.314462921840246,26.53207948211445,28.09684636156604,27.314462921840246,352.6855370781597,351.90315363843393,353.4679205178855,0.0,0.0,0.0,352.6855370781597
0,0,Z3,agua,40000.0,0.0,1777.5075556335014,1724.9542672315256,1830.0608440354772,1777.5075556335014,38222.49244436649,38169.939155964516,38275.04573276847,0.0,0.0,0.0,38222.49244436649
0,0,Z3,alimentos,9500.0,0.0,600.5215256787521,584.1315583237098,616.9114930337945,600.5215256787521,8899.478474321248,8883.088506966205,8915.86844167629,0.0,0.0,0.0,8899.478474321248
0,0,Z3,medicamentos,210.0,0.0,30.17529662486467,29.3770790522983,30.973514197431044,30.17529662486467,179.82470337513533,179.02648580256894,180.62292094770172,0.0,0.0,0.0,179.82470337513533
0,0,Z4,agua,180000.0,0.0,839.0553080728591,816.5199861632419,861.5906299824763,839.0553080728591,179160.94469192714,179138.40937001753,179183.48001383676,0.0,0.0,0.0,179160.94469192714
0,0,Z4,alimentos,42000.0,0.0,281.2633649350357,272.84676989531715,289.6799599747543,281.2633649350357,41718.73663506497,41710.320040025246,41727.15323010469,0.0,0.0,0.0,41718.73663506497
0,0,Z4,medicamentos,1200.0,0.0,13.922823477098394,13.486884334776041,14.358762619420746,13.922823477098394,1186.0771765229015,1185.6412373805792,1186.5131156652237,0.0,0.0,0.0,1186.0771765229015
0,0,Z5,agua,28000.0,0.0,1153.189393055186,1118.6167931221685,1187.7619929882035,1153.189393055186,26846.81060694481,26812.238007011794,26881.38320687783,0.0,0.0,0.0,26846.81060694481
0,0,Z5,alimentos,7200.0,0.0,372.899501563324,362.8739620688068,382.9250410578412,372.899501563324,6827.1004984366755,6817.074958942158,6837.1260379311925,0.0,0.0,0.0,6827.1004984366755
0,0,Z5,medicamentos,145.0,0.0,18.429461899060158,17.83404464455043,19.024879153569884,18.429461899060158,126.57053810093984,125.97512084643012,127.16595535544957,0.0,0.0,0.0,126.57053810093984
1,6,Z1,agua,0.0,0.0,295.7834017553022,287.74805585913555,303.8187476514688,0.0,0.0,0.0,0.0,295.7834017553022,287.74805585913555,303.8187476514688,0.0
1,6,Z1,alimentos,0.0,0.0,98.23693354730702,95.32611055541543,101.14775653919861,0.0,0.0,0.0,0.0,98.23693354730702,95.32611055541543,101.14775653919861,0.0
1,6,Z1,medicamentos,0.0,0.0,5.012053783985732,4.891346074046204,5.13276149392526,0.0,0.0,0.0,0.0,5.012053783985732,4.891346074046204,5.13276149392526,0.0
1,6,Z2,agua,63356.81933410513,0.0,1660.1504414474743,1611.7834792204887,1708.51740367446,1660.1504414474743,61696.66889265766,61627.66381049327,61765.67397482205,0.0,0.0,0.0,61696.66889265766
1,6,Z2,alimentos,17455.064475177536,0.0,544.5920312676583,527.6150051885456,561.5690573467709,544.5920312676583,16910.472443909875,16888.31699411437,16932.62789370538,0.0,0.0,0.0,16910.472443909875
1,6,Z2,medicamentos,352.6855370781597,0.0,27.282420937320467,26.500683843252805,28.06415803138813,27.282420937320467,325.4031161408393,324.24798370149756,326.55824858018104,0.0,0.0,0.0,325.4031161408393
1,6,Z3,agua,38222.49244436649,0.0,1784.4435564577088,1735.7561591961048,1833.1309537193129,1784.4435564577088,36438.04888790879,36367.42118140479,36508.6765944128,0.0,0.0,0.0,36438.04888790879
1,6,Z3,alimentos,8899.478474321248,0.0,604.8418898456403,586.253082807516,623.4306968837645,604.8418898456403,8294.63658447561,8270.043855796557,8319.229313154661,0.0,0.0,0.0,8294.63658447561
1,6,Z3,medicamentos,179.82470337513533,0.0,29.64138041921966,28.686391689517915,30.596369148921408,29.64138041921966,150.18332295591568,148.90162986171072,151.46501605012065,0.0,0.0,0.0,150.18332295591568
1,6,Z4,agua,179160.94469192714,0.0,1049.1699777483345,1017.9651013188069,1080.3748541778623,1049.1699777483345,178111.7747141788,178071.60630659928,178151.94312175835,0.0,0.0,0.0,178111.7747141788
1,6,Z4,alimentos,41718.73663506497,0.0,351.1606142969469,339.4311278700994,362.89010072379443,351.1606142969469,41367.576020768014,41353.25931750105,41381.89272403498,0.0,0.0,0.0,41367.576020768014
1,6,Z4,medicamentos,1186.0771765229015,0.0,17.191175748370785,16.654378258126815,17.727973238614755,17.191175748370785,1168.8860007745309,1168.184015097915,1169.5879864511467,0.0,0.0,0.0,1168.8860007745309
1,6,Z5,agua,26846.81060694481,0.0,1119.4257030368665,1085.7396231370717,1153.1117829366613,1119.4257030368665,25727.384903907954,25678.77845611791,25775.991351697998,0.0,0.0,0.0,25727.384903907954
1,6,Z5,alimentos,6827.1004984366755,0.0,365.03203871900206,355.54727077911144,374.5168066588927,365.03203871900206,6462.068459717674,6447.340773328596,6476.7961461067525,0.0,0.0,0.0,6462.068459717674
1,6,Z5,medicamentos,126.57053810093984,0.0,18.509976381539744,17.960038346014652,19.059914417064835,18.509976381539744,108.06056171940013,107.28109993527607,108.84002350352418,0.0,0.0,0.0,108.06056171940013
2,12,Z1,agua,0.0,0.0,305.5413643423056,296.6504267666956,314.4323019179156,0.0,0.0,0.0,0.0,305.5413643423056,296.6504267666956,314.4323019179156,0.0
2,12,Z1,alimentos,0.0,0.0,99.96236483104795,97.12866195230667,102.79606770978923,0.0,0.0,0.0,0.0,99.96236483104795,97.12866195230667,102.79606770978923,0.0
2,12,Z1,medicamentos,0.0,0.0,5.000224891159624,4.8426254980153445,5.157824284303903,0.0,0.0,0.0,0.0,5.000224891159624,4.8426254980153445,5.157824284303903,0.0
2,12,Z2,agua,61696.66889265766,0.0,1662.0890954171493,1611.4371726982233,1712.7410181360754,1662.0890954171493,60034.579797240505,59953.99696843847,60115.16262604254,0.0,0.0,0.0,60034.579797240505
2,12,Z2,alimentos,16910.472443909875,0.0,549.2567628386709,532.7627621205941,565.7507635567476,549.2567628386709,16361.215681071208,16331.719329497204,16390.71203264521,0.0,0.0,0.0,16361.215681071208
2,12,Z2,medicamentos,325.4031161408393,0.0,26.80240286511578,26.07134796021421,27.53345777001735,26.80240286511578,298.60071327572354,297.21887399391477,299.9825525575323,0.0,0.0,0.0,298.60071327572354
2,12,Z3,agua,36438.04888790879,0.0,1763.3337828206163,1706.0553266156526,1820.61223902558,1763.3337828206163,34674.715105088166,34582.24033275618,34767.189877420155,0.0,0.0,0.0,34674.715105088166
2,12,Z3,alimentos,8294.63658447561,0.0,595.498034607928,580.3855739784858,610.6104952373703,595.498034607928,7699.13854986768,7672.007711729621,7726.269388005739,0.0,0.0,0.0,7699.13854986768
2,12,Z3,medicamentos,150.18332295591568,0.0,29.76056629632999,28.90247738867401,30.61865520398597,29.76056629632999,120.42275665958569,118.93444184393938,121.91107147523199,0.0,0.0,0.0,120.42275665958569
2,12,Z4,agua,178111.7747141788,0.0,1256.2168883906863,1219.8320419144534,1292.6017348669193,1256.2168883906863,176855.5578257882,176804.7438148447,176906.37183673168,0.0,0.0,0.0,176855.5578257882
2,12,Z4,alimentos,41367.576020768014,0.0,426.72413408327265,414.7685341610573,438.679734005488,426.72413408327265,40940.851886684744,40922.54248686586,40959.16128650363,0.0,0.0,0.0,40940.851886684744
2,12,Z4,medicamentos,1168.8860007745309,0.0,21.053833720672728,20.50730243157348,21.600365009771977,21.053833720672728,1147.832167053858,1146.9608418272926,1148.7034922804235,0.0,0.0,0.0,1147.832167053858
2,12,Z5,agua,25727.384903907954,0.0,1113.8587556762593,1083.9631693567296,1143.754341995789,1113.8587556762593,24613.52614823169,24552.773753792062,24674.278542671316,0.0,0.0,0.0,24613.52614823169
2,12,Z5,alimentos,6462.068459717674,0.0,374.5824477053172,362.5114270536047,386.6534683570297,374.5824477053172,6087.486012012357,6067.691334685066,6107.280689339647,0.0,0.0,0.0,6087.486012012357
2,12,Z5,medicamentos,108.06056171940013,0.0,19.133147939743775,18.629024586361094,19.637271293126457,19.133147939743775,88.92741377965632,88.01979805222517,89.83502950708747,0.0,0.0,0.0,88.92741377965632
3,18,Z1,agua,0.0,0.0,300.36117470197894,290.80749668093137,309.9148527230265,0.0,0.0,0.0,0.0,300.36117470197894,290.80749668093137,309.9148527230265,0.0
3,18,Z1,alimentos,0.0,0.0,98.12123639048596,95.37088733969111,100.87158544128081,0.0,0.0,0.0,0.0,98.12123639048596,95.37088733969111,100.87158544128081,0.0
3,18,Z1,medicamentos,0.0,0.0,4.935014411948214,4.801548163614945,5.068480660281483,0.0,0.0,0.0,0.0,4.935014411948214,4.801548163614945,5.068480660281483,0.0
3,18,Z2,agua,60034.579797240505,0.0,1622.3380495966285,1571.913811011553,1672.762288181704,1622.3380495966285,58412.241747643886,58314.6748342887,58509.80866099907,0.0,0.0,0.0,58412.241747643886
3,18,Z2,alimentos,16361.215681071208,0.0,540.5403401595091,523.5067209864427,557.5739593325756,540.5403401595091,15820.675340911697,15787.456530842,15853.894150981394,0.0,0.0,0.0,15820.675340911697
3,18,Z2,medicamentos,298.60071327572354,0.0,27.25128900338426,26.422615169642036,28.079962837126487,27.25128900338426,271.34942427233926,269.65784139504973,273.0410071496288,0.0,0.0,0.0,271.34942427233926
3,18,Z3,agua,34674.715105088166,0.0,1786.654392639859,1733.3030571709537,1840.0057281087643,1786.654392639859,32888.060712448314,32783.57204550154,32992.54937939509,0.0,0.0,0.0,32888.060712448314
3,18,Z3,alimentos,7699.13854986768,0.0,607.4831672629449,587.7403403052535,627.2259942206363,607.4831672629449,7091.655382604735,7058.967223564096,7124.343541645374,0.0,0.0,0.0,7091.655382604735
3,18,Z3,medicamentos,120.42275665958569,0.0,30.60554683663837,29.779550093098045,31.431543580178698,30.60554683663837,89.81720982294732,88.15917950791605,91.47524013797859,0.0,0.0,0.0,89.81720982294732
3,18,Z4,agua,176855.5578257882,40000.0,1407.7373519270402,1364.53852234799,1450.9361815060904,1407.7373519270402,215447.82047386107,215382.3866611597,215513.25428656244,0.0,0.0,0.0,215447.82047386107
3,18,Z4,alimentos,40940.851886684744,8000.0,469.5545032857834,455.4572451178351,483.65176145373175,469.5545032857834,48471.29738339896,48448.08976466381,48494.50500213411,0.0,0.0,0.0,48471.29738339896
3,18,Z4,medicamentos,1147.832167053858,200.0,23.72563613824085,23.052071575976218,24.399200700505485,23.72563613824085,1324.1065309156172,1323.0500998362916,1325.1629619949429,0.0,0.0,0.0,1324.1065309156172
3,18,Z5,agua,24613.52614823169,0.0,1139.9916364165485,1100.6922663696207,1179.2910064634764,1139.9916364165485,23473.53451181514,23397.644596150025,23549.42442748026,0.0,0.0,0.0,23473.53451181514
3,18,Z5,alimentos,6087.486012012357,0.0,378.78487173968716,365.61626682541294,391.9534766539614,378.78487173968716,5708.701140272671,5684.109120755076,5733.293159790266,0.0,0.0,0.0,5708.701140272671
3,18,Z5,medicamentos,88.92741377965632,0.0,18.364275290346015,17.853083374621832,18.875467206070198,18.364275290346015,70.5631384893103,69.51271876786741,71.6135582107532,0.0,0.0,0.0,70.5631384893103
4,24,Z1,agua,0.0,0.0,307.2954908115619,298.4338118092776,316.15716981384617,0.0,0.0,0.0,0.0,307.2954908115619,298.4338118092776,316.15716981384617,0.0
4,24,Z1,alimentos,0.0,0.0,101.62968152709612,98.64653428331978,104.61282877087247,0.0,0.0,0.0,0.0,101.62968152709612,98.64653428331978,104.61282877087247,0.0
4,24,Z1,medicamentos,0.0,0.0,5.026567573567371,4.880699545978514,5.172435601156229,0.0,0.0,0.0,0.0,5.026567573567371,4.880699545978514,5.172435601156229,0.0
4,24,Z2,agua,58412.241747643886,0.0,1618.3762636478032,1567.0068202715534,1669.745707024053,1618.3762636478032,56793.86548399608,56684.335805757386,56903.395162234774,0.0,0.0,0.0,56793.86548399608
4,24,Z2,alimentos,15820.675340911697,0.0,552.1151848315178,535.378130036571,568.8522396264647,552.1151848315178,15268.560156080179,15232.859448708137,15304.26086345222,0.0,0.0,0.0,15268.560156080179
4,24,Z2,medicamentos,271.34942427233926,0.0,27.08253400532387,26.409591474004333,27.755476536643403,27.08253400532387,244.26689026701533,242.52708246021453,246.00669807381612,0.0,0.0,0.0,244.26689026701533
4,24,Z3,agua,32888.060712448314,0.0,1790.4182436226567,1736.6094690997604,1844.227018145553,1790.4182436226567,31097.64246882566,30982.71864412804,31212.56629352328,0.0,0.0,0.0,31097.64246882566
4,24,Z3,alimentos,7091.655382604735,0.0,591.1802279781757,574.1779721264827,608.1824838298687,591.1802279781757,6500.475154626558,6460.554679791787,6540.395629461329,0.0,0.0,0.0,6500.475154626558
4,24,Z3,medicamentos,89.81720982294732,0.0,30.20051849268179,29.292790165485776,31.108246819877806,30.20051849268179,59.616691330265525,57.63409903622371,61.59928362430734,0.0,0.0,0.0,59.616691330265525
4,24,Z4,agua,215447.82047386107,80000.0,1491.072674518844,1452.5856501566977,1529.5596988809903,1491.072674518844,293956.74779934227,293888.0871629677,294025.4084357168,0.0,0.0,0.0,293956.74779934227
4,24,Z4,alimentos,48471.29738339896,15000.0,491.44665569465985,476.70946494194465,506.18384644737506,491.44665569465985,62979.85072770432,62954.76994351921,63004.93151188942,0.0,0.0,0.0,62979.85072770432
