escenario,realizacion,bloque,tiempo_h,zona,suministro,inventario_inicio,reposicion_recibida,demanda,consumo_satisfecho,inventario_fin,superavit,deficit
base_pre_intercambio,0,4,24,Z1,medicamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,4,24,Z2,agua,53518.63323507991,0.0,2580.2478772749714,2580.2478772749714,50938.38535780494,50938.38535780494,0.0
base_pre_intercambio,0,4,24,Z2,alimentos,14049.608991475601,0.0,916.9222188034976,916.9222188034976,13132.686772672103,13132.686772672103,0.0
base_pre_intercambio,0,4,24,Z2,medicamentos,165.55741737310095,0.0,49.46014575952179,49.46014575952179,116.09727161357915,116.09727161357915,0.0
base_pre_intercambio,0,4,24,Z3,agua,32872.94211266273,0.0,1928.1696279237653,1928.1696279237653,30944.77248473896,30944.77248473896,0.0
base_pre_intercambio,0,4,24,Z3,alimentos,7076.278874796156,0.0,649.2159315603006,649.2159315603006,6427.0629432358555,6427.0629432358555,0.0
base_pre_intercambio,0,4,24,Z3,medicamentos,95.97916461535225,0.0,33.24825102170991,33.24825102170991,62.730913593642335,62.730913593642335,0.0
base_pre_intercambio,0,4,24,Z4,agua,188733.7534944381,80000.0,7562.131203947489,7562.131203947489,261171.62229049063,261171.62229049063,0.0
base_pre_intercambio,0,4,24,Z4,alimentos,38341.15919005491,15000.0,3082.0089822135724,3082.0089822135724,50259.15020784134,50259.15020784134,0.0
base_pre_intercambio,0,4,24,Z4,medicamentos,775.0913098559033,400.0,138.28610847427277,138.28610847427277,1036.8052013816305,1036.8052013816305,0.0
base_pre_intercambio,0,4,24,Z5,agua,22812.693527251642,0.0,1279.8023061572098,1279.8023061572098,21532.891221094433,21532.891221094433,0.0
base_pre_intercambio,0,4,24,Z5,alimentos,5553.665334920739,0.0,542.8261628397636,542.8261628397636,5010.839172080976,5010.839172080976,0.0
base_pre_intercambio,0,4,24,Z5,medicamentos,56.44828140342851,0.0,19.392603014488422,19.392603014488422,37.05567838894009,37.05567838894009,0.0
base_pre_intercambio,0,5,30,Z1,agua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,5,30,Z1,alimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,5,30,Z1,medicamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0
base_pre_intercambio,0,5,30,Z2,agua,50938.38535780494,0.0,2616.020807794664,2616.020807794664,48322.36455001027,48322.36455001027,0.0
